make_model,power_kW,mileage,age,engine_size,type,price
Mercedes-Benz A 180,90.0,102998.0,7.0,1595.0,Used,18400.0
Mercedes-Benz CL,87.0,8500.0,0.0,1950.0,Used,37490.0
Mercedes-Benz A 180,90.0,50340.0,6.0,1595.0,Used,21945.0
Mercedes-Benz A 180,90.0,87385.0,7.0,1595.0,Used,21950.0
Mercedes-Benz A 200,120.0,86828.0,4.0,1333.0,Used,33950.0
Mercedes-Benz CL,87.0,5000.0,0.0,1332.0,Used,39490.0
Mercedes-Benz A 200,101.0,93827.0,6.0,2143.0,Used,21999.0
Mercedes-Benz A 200,120.0,49612.0,4.0,1332.0,Used,32490.0
Mercedes-Benz A 200,120.0,13200.0,2.0,1332.0,Used,30900.0
Mercedes-Benz A 200,100.0,94000.0,4.0,2143.0,Used,21800.0
Mercedes-Benz CL,87.0,8500.0,0.0,1332.0,Used,39490.0
Mercedes-Benz A 200,100.0,80630.0,4.0,2143.0,Used,23490.0
Mercedes-Benz A 220,130.0,104500.0,5.0,2143.0,Used,22500.0
Mercedes-Benz A 180,100.0,89805.0,3.0,1332.0,Used,26950.0
Mercedes-Benz A 180,90.0,113023.0,7.0,1595.0,Used,16850.0
Mercedes-Benz A 220,132.0,112416.0,6.0,2143.0,Used,22999.0
Mercedes-Benz A 180,90.0,109367.0,5.0,1595.0,Used,21995.0
Mercedes-Benz A 200,120.0,78959.0,4.0,1333.0,Used,31990.0
Mercedes-Benz A 180,90.0,44319.0,4.0,1595.0,Used,26245.0
Mercedes-Benz CL,87.0,23982.0,3.0,2143.0,Used,29990.0
Mercedes-Benz A 180,90.0,92469.0,5.0,1595.0,Used,21995.0
Mercedes-Benz CL,87.0,8000.0,0.0,1332.0,Used,39990.0
Mercedes-Benz A 180,85.0,38236.0,3.0,1461.0,Used,27890.0
Mercedes-Benz A 220,142.0,30069.0,3.0,2000.0,Used,31999.0
Mercedes-Benz A 180,80.0,123617.0,8.0,1461.0,Used,13845.0
Mercedes-Benz CL,87.0,8500.0,0.0,1332.0,Used,39990.0
Mercedes-Benz CL,142.0,19234.0,2.0,1950.0,Used,39999.0
Mercedes-Benz CL,87.0,107245.0,2.0,1461.0,Used,26490.0
Mercedes-Benz A 200,112.0,43819.0,3.0,1950.0,Used,29999.0
Mercedes-Benz A 200,121.0,30535.0,1.0,1332.0,Used,35950.0
Mercedes-Benz CL,87.0,52019.0,4.0,1461.0,Used,26990.0
Mercedes-Benz A 200,101.0,108714.0,5.0,2143.0,Used,20999.0
Mercedes-Benz A 180,100.0,25780.0,2.0,1332.0,Used,27490.0
Mercedes-Benz CL,122.0,40505.0,3.0,1332.0,Used,27499.0
Mercedes-Benz A 35 AMG,228.0,66521.0,3.0,1991.0,Used,47999.0
Mercedes-Benz CL,87.0,9000.0,0.0,1950.0,Used,45490.0
Mercedes-Benz A 180,85.0,22042.0,1.0,1950.0,Used,29490.0
Mercedes-Benz A 200,101.0,77642.0,5.0,2143.0,Used,21999.0
Mercedes-Benz A 200,100.0,175500.0,8.0,2143.0,Used,17990.0
Mercedes-Benz CL,87.0,17000.0,2.0,1461.0,Used,30999.0
Mercedes-Benz CL,87.0,9000.0,0.0,1332.0,Used,33490.0
Mercedes-Benz A 180,81.0,73301.0,4.0,1461.0,Used,19999.0
Mercedes-Benz A 250,118.0,65.0,1.0,1332.0,Used,46945.0
Mercedes-Benz CL,112.0,74291.0,3.0,1950.0,Used,29999.0
Mercedes-Benz A 220,142.0,55363.0,3.0,1991.0,Used,29999.0
Mercedes-Benz CL,87.0,88677.0,7.0,1461.0,Used,17990.0
Mercedes-Benz A 250,75.0,1236.0,0.0,1332.0,Used,45900.0
Mercedes-Benz CL,87.0,28993.0,2.0,1332.0,Used,28690.0
Mercedes-Benz A 180,100.0,29500.0,3.0,1332.0,Used,30899.0
Mercedes-Benz A 180,100.0,49444.0,2.0,1332.0,Used,32750.0
Mercedes-Benz A 180,90.0,67120.0,6.0,1595.0,Used,21490.0
Mercedes-Benz A 220,142.0,40698.0,3.0,1991.0,Used,29999.0
Mercedes-Benz A 180,81.0,71482.0,4.0,1461.0,Used,20999.0
Mercedes-Benz CL,87.0,36021.0,3.0,1332.0,Used,24890.0
Mercedes-Benz CL,87.0,39267.0,2.0,1332.0,Used,35990.0
Mercedes-Benz CL,87.0,44266.0,5.0,1595.0,Used,22990.0
Mercedes-Benz CL,87.0,10200.0,0.0,1332.0,Used,39900.0
Mercedes-Benz CL,87.0,59910.0,3.0,1461.0,Used,23990.0
Mercedes-Benz E 350,195.0,96000.0,9.0,2987.0,Used,21990.0
Mercedes-Benz A 180,90.0,99533.0,8.0,1595.0,Used,18995.0
Mercedes-Benz CLA 200,100.0,40335.0,4.0,2143.0,Used,25900.0
Mercedes-Benz A 35 AMG,225.0,92751.0,3.0,1991.0,Used,45950.0
Mercedes-Benz A 45 AMG,280.0,73950.0,5.0,1991.0,Used,34500.0
Mercedes-Benz A 200,110.0,51774.0,3.0,1950.0,Used,30890.0
Mercedes-Benz A 45 AMG,265.0,93000.0,7.0,1991.0,Used,28999.0
Mercedes-Benz A 220,125.0,167800.0,9.0,2143.0,Used,16990.0
Mercedes-Benz E 220,143.0,132000.0,5.0,1950.0,Used,27000.0
Mercedes-Benz A 45 AMG,125.0,79000.0,8.0,2143.0,Used,22900.0
Mercedes-Benz A 45 AMG,265.0,21000.0,8.0,1991.0,Used,35900.0
Mercedes-Benz A 45 AMG,265.0,24900.0,9.0,1991.0,Used,36500.0
Mercedes-Benz A 45 AMG,265.0,37000.0,8.0,1991.0,Used,35500.0
Mercedes-Benz A 35 AMG,225.0,58517.0,3.0,1991.0,Used,58500.0
Mercedes-Benz A 45 AMG,310.0,49900.0,2.0,1991.0,Used,65900.0
Mercedes-Benz A 250,165.0,22250.0,3.0,1991.0,Used,36900.0
Mercedes-Benz A 35 AMG,225.0,47000.0,3.0,1991.0,Used,51890.0
Mercedes-Benz A 220,130.0,19990.0,6.0,2143.0,Used,22900.0
Mercedes-Benz A 45 AMG,280.0,164000.0,6.0,1991.0,Used,33900.0
Mercedes-Benz A 35 AMG,225.0,20900.0,3.0,1991.0,Used,59700.0
Mercedes-Benz A 35 AMG,225.0,4700.0,3.0,1991.0,Used,53900.0
Mercedes-Benz A 220,125.0,160000.0,8.0,2143.0,Used,18499.0
Mercedes-Benz A 220,140.0,24510.0,3.0,1991.0,Used,27990.0
Mercedes-Benz A 45 AMG,265.0,175000.0,9.0,1991.0,Used,28950.0
Mercedes-Benz A 45 AMG,265.0,29328.0,8.0,1991.0,Used,35900.0
Mercedes-Benz A 180,80.0,270000.0,9.0,1461.0,Used,15590.0
Mercedes-Benz A 250,165.0,1.0,0.0,1991.0,Pre-registered,63900.0
Mercedes-Benz A 45 AMG,265.0,134104.0,7.0,1991.0,Used,29650.0
Mercedes-Benz A 45 AMG,310.0,31000.0,2.0,1991.0,Used,68900.0
Mercedes-Benz A 250,165.0,27300.0,3.0,1991.0,Used,39900.0
Mercedes-Benz A 45 AMG,265.0,98000.0,7.0,1991.0,Used,27990.0
Mercedes-Benz A 220,140.0,24600.0,3.0,1950.0,Used,34900.0
Mercedes-Benz A 45 AMG,265.0,82100.0,9.0,1991.0,Used,29900.0
Mercedes-Benz A 35 AMG,225.0,40000.0,3.0,1991.0,Used,42999.0
Mercedes-Benz A 35 AMG,225.0,13000.0,3.0,1991.0,Used,47900.0
Mercedes-Benz A 200,110.0,1.0,0.0,1950.0,Pre-registered,45990.0
Mercedes-Benz A 200,110.0,114154.0,2.0,1950.0,Used,26263.0
Mercedes-Benz A 180,85.0,79163.0,4.0,1461.0,Used,23868.0
Mercedes-Benz A 200,103.0,201000.0,9.0,1991.0,Used,15900.0
Mercedes-Benz A 35 AMG,225.0,68000.0,3.0,1991.0,Used,43700.0
Mercedes-Benz A 45 AMG,280.0,103000.0,5.0,1991.0,Used,37000.0
Mercedes-Benz A 180,80.0,114000.0,7.0,1461.0,Used,15900.0
Mercedes-Benz A 200,100.0,75558.0,9.0,1796.0,Used,17500.0
Mercedes-Benz A 250,160.0,40900.0,2.0,1332.0,Used,35700.0
Mercedes-Benz A 180,80.0,80999.0,5.0,1461.0,Used,15690.0
Mercedes-Benz A 35 AMG,225.0,51000.0,3.0,1991.0,Used,43900.0
Mercedes-Benz A 35 AMG,225.0,29855.0,3.0,1991.0,Used,52990.0
Mercedes-Benz A 250,118.0,18500.0,2.0,1332.0,Used,42500.0
Mercedes-Benz A 200,120.0,72458.0,3.0,1332.0,Used,27490.0
Mercedes-Benz A 45 AMG,310.0,31000.0,2.0,1991.0,Used,66890.0
Mercedes-Benz A 200,100.0,115352.0,5.0,2143.0,Used,17490.0
Mercedes-Benz A 200,100.0,81177.0,5.0,2143.0,Used,19900.0
Mercedes-Benz A 45 AMG,265.0,105000.0,8.0,1991.0,Used,28490.0
Mercedes-Benz SLK 200,135.0,79137.0,9.0,1796.0,Used,22800.0
Mercedes-Benz A 45 AMG,265.0,98500.0,9.0,1991.0,Used,32900.0
